0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Ticker,Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
BTIB,2024-03-28 00:00:00,0.75,0.75,0.75,0.75,0.06,8.7,99403,74552,0.78,0.79,,42.34,0.47,-0.02,-0.01,-0.02,-1436416.2999999523,0.7296869397445613,0.7589462749198227,0.7878983856028192,0.7927526439087372,0.69,0.69,-0.0051608800853641,0.0237848985867784,0.0840965054102858,0.0732900305050327,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BUND,2024-03-31 00:00:00,0.08,0.08,0.08,0.08,0.0,0.0,10000000,800000,0.08,0.08,0.09,48.34,0.07,-0.0,-0.0,-0.0,10550529.80000019,0.0794985444789839,0.0799604352377543,0.0809620919680189,0.0816160265861253,0.07,0.07,0.0,0.0038113390336532,0.0047140452085452,0.0048191793688728,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Buy-Hold,Buy,Buy,Monitor-Monitor,Monitor-Monitor
BUOI,2024-03-26 00:00:00,0.29,0.29,0.29,0.29,-0.01,-3.33,1500000,435000,0.29,0.31,0.49,45.91,-0.22,-0.01,-0.0,-0.0,-1470521.1999969482,0.2940052747494501,0.2954101860376904,0.2996836558455318,0.3095459011400143,0.31,0.31,-0.0042289372930159,0.0098074912492564,0.0048304589154167,0.0378099436224936,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell,Sell,Sell,Hold-Hold,Monitor-Monitor
HASH,2024-04-02 00:00:00,20.0,20.0,20.0,20.0,0.0,0.0,50000,1000000,20.79,14.88,12.07,57.45,-0.01,1.69,1.91,-0.21,-15947.29999999702,20.169801883533136,20.04004346245524,18.86628070583057,16.25496857301783,19.24,17.928273495798138,0.0,1.341928146494873,1.0202940752548957,3.936670840459291,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
HBAG,2024-04-03 00:00:00,11.1,11.1,11.1,11.1,0.2,1.83,178108,1976999,10.9,11.12,10.35,51.64,0.2,-0.08,-0.08,0.0,-3178292.85,10.962092689928268,10.958131030645456,11.0250174643601,11.056980859251276,10.8172896,10.8088212,-1.2802460722254885,0.1411844140014676,0.1012422836570234,0.2771520617026655,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor
HBAY,2024-04-01 00:00:00,115.0,114.0,115.0,114.0,1.0,0.88,660370,75862552,108.9,104.42,93.9,81.16,0.22,2.63,1.56,1.06,532886.3999999762,112.80221200228642,110.33967917580507,107.91701356323514,104.73764455960736,114.0,114.0,0.1696827653805854,1.2003780986823835,5.043147165543797,4.061157952896931,Sell,Sell,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Sell,Sell,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Buy,Sell,Sell,Monitor-Monitor,Monitor-Monitor
HISH,2024-04-03 00:00:00,9.5,9.3,9.5,9.3,0.27,2.93,390000,3642000,9.32,9.45,9.24,60.17,0.13,-0.04,-0.05,0.01,-2446990.950000003,9.346527556265492,9.339575075612114,9.365927355944873,9.43032195644044,9.1,9.1,0.4680161371964031,0.1082542581585369,0.0730981075843677,0.094851979205658,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Buy,Buy,Buy,Buy,Hold,Hold,Hold-Hold,Sell,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Sell-Monitor,Buy,Buy-Hold,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
HKAR,2024-03-14 00:00:00,0.85,0.85,0.85,0.85,0.0,0.0,8090,6876,0.89,0.94,0.86,40.86,-0.33,-0.03,-0.01,-0.02,-841262.849999994,0.8566187496422584,0.8896591122770134,0.9226451166451168,0.9305919186617668,0.8,0.8,0.0,0.0340519377368662,0.0691937697901959,0.0778999882109129,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
HMAN,2024-03-20 00:00:00,37.5,38.0,38.0,37.5,-1.5,-3.85,105000,3952500,42.21,40.98,31.47,36.22,-0.08,-0.59,0.51,-1.11,122135.69999998808,40.11357240026598,41.71374065605413,42.77206120466448,41.10185920400755,41.0,41.0,-0.063971242233729,2.2281198216522253,2.4100458732374577,5.185753958919697,Hold,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Sell,Sell,Sell,Hold,Hold,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Sell-Monitor,Sell,Sell,Hold-Hold,Monitor-Monitor
HNTI,2024-04-01 00:00:00,11.0,11.0,11.0,11.0,0.1,0.92,150000,1650000,11.27,11.35,10.15,44.01,-0.25,-0.11,-0.05,-0.07,331979.75,11.032142455951334,11.153951883204977,11.27090703721739,11.305558511633834,10.8,10.8,0.1548587026352965,0.2469633533039977,0.4133924688881576,0.2797746177456654,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
