Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
TASC,2023-09-25,2023-10-09 00:00:00,8.8,8.8,0.0,0.0,1.0,Closed,8.805280000000002,8.79472,-0.0105600000000016,-0.1199280431741146,0.9988007195682588,True,4,,,,0.9988007195682588,
BMNS,2023-10-22,2023-10-24 00:00:00,0.93,0.92,-0.01,-1.075268817204302,0.989247311827957,Closed,0.930558,0.919448,-0.0111099999999999,-1.193907311527057,0.9880609268847296,True,3,,,0.9880609268847296,,
BMNS,2023-10-30,2023-11-07 00:00:00,0.98,1.03,0.05,5.102040816326536,1.0510204081632653,Closed,0.980588,1.029382,0.048794,4.975993995439471,1.0497599399543946,True,3,,,1.0497599399543946,,
IBSD,2023-10-31,2023-11-08 00:00:00,3.42,3.48,0.06,1.7543859649122824,1.0175438596491229,Closed,3.422052,3.477912,0.05586,1.6323539209807454,1.0163235392098076,True,2,,1.0163235392098076,,,
BNOI,2023-10-31,2023-11-07 00:00:00,2.46,2.76,0.2999999999999998,12.195121951219503,1.121951219512195,Closed,2.461476,2.758344,0.2968679999999999,12.060568536926622,1.1206056853692663,True,4,,,,1.1206056853692663,
BMNS,2023-11-08,2024-01-28 00:00:00,1.0,1.68,0.6799999999999999,68.0,1.68,Closed,1.0006,1.678992,0.6783920000000001,67.79852088746753,1.6779852088746754,True,3,,,1.6779852088746754,,
BNOI,2023-11-08,2023-11-20 00:00:00,2.52,2.68,0.1600000000000001,6.349206349206354,1.0634920634920637,Closed,2.521512,2.678392,0.1568800000000001,6.22166382710057,1.0622166382710057,True,4,,,,1.0622166382710057,
IBSD,2023-11-09,2023-11-14 00:00:00,3.46,3.46,0.0,0.0,1.0,Closed,3.462076,3.457924,-0.0041520000000003,-0.1199280431741064,0.9988007195682588,True,1,0.9988007195682588,,,,
BBOB,2023-11-09,2023-12-04 00:00:00,3.16,3.29,0.1299999999999999,4.113924050632908,1.0411392405063291,Closed,3.161896,3.288026,0.1261299999999998,3.989062258847219,1.039890622588472,True,2,,1.039890622588472,,,
IBSD,2023-11-15,2023-11-19 00:00:00,3.5,3.52,0.02,0.571428571428572,1.0057142857142858,Closed,3.5021,3.517888,0.0157880000000001,0.4508152251506278,1.0045081522515062,True,1,1.0045081522515062,,,,
IBSD,2023-11-20,2023-12-05 00:00:00,3.52,3.4,-0.1200000000000001,-3.4090909090909123,0.9659090909090908,Closed,3.522112,3.39796,-0.124152,-3.5249304962477077,0.964750695037523,True,1,0.964750695037523,,,,
TASC,2023-11-21,2023-12-21 00:00:00,8.84,8.88,0.0400000000000009,0.4524886877828158,1.0045248868778285,Closed,8.845304,8.874672,0.0293679999999998,0.3320179837798659,1.0033201798377986,True,4,,,,1.0033201798377986,
BBOB,2023-12-05,2024-03-26 00:00:00,3.16,3.2,0.04,1.2658227848101276,1.0126582278481011,Closed,3.161896,3.19808,0.0361839999999999,1.144376665140156,1.0114437666514016,True,2,,1.0114437666514016,,,
TASC,2023-12-22,2023-12-24 00:00:00,8.88,8.64,-0.2400000000000002,-2.702702702702705,0.9729729729729728,Closed,8.885328000000001,8.634816,-0.2505120000000005,-2.819389447412638,0.9718061055258737,True,1,0.9718061055258737,,,,
BNOI,2024-01-15,2024-02-11 00:00:00,2.85,3.0,0.1499999999999999,5.263157894736839,1.0526315789473684,Closed,2.85171,2.9982,0.14649,5.136917849290426,1.0513691784929042,True,1,1.0513691784929042,,,,
IBSD,2024-01-18,2024-01-29 00:00:00,3.77,4.01,0.2399999999999997,6.366047745358085,1.063660477453581,Closed,3.772262,4.007594,0.2353320000000001,6.238485025695461,1.0623848502569546,True,4,,,,1.0623848502569546,
BMNS,2024-01-29,2024-02-05 00:00:00,1.61,1.69,0.0799999999999998,4.968944099378873,1.0496894409937887,Closed,1.610966,1.688986,0.0780199999999997,4.843056898779971,1.0484305689877995,True,3,,,1.0484305689877995,,
IBSD,2024-01-30,2024-02-07 00:00:00,4.05,4.2,0.1500000000000003,3.7037037037037126,1.0370370370370372,Closed,4.05243,4.1974800000000005,0.1450500000000003,3.5793338811527984,1.035793338811528,True,4,,,,1.035793338811528,
TASC,2024-02-01,2024-02-29 00:00:00,9.7,9.78,0.08,0.8247422680412378,1.0082474226804123,Closed,9.70582,9.774132,0.0683120000000006,0.7038251276038563,1.0070382512760383,True,5,,,,,1.0070382512760383
IBSD,2024-02-08,2024-02-20 00:00:00,4.19,4.1,-0.0900000000000007,-2.147971360381879,0.9785202863961812,Closed,4.192514,4.09754,-0.0949740000000005,-2.2653233835355246,0.9773467661646448,True,3,,,0.9773467661646448,,
BNOI,2024-02-12,2024-02-29 00:00:00,3.1,3.52,0.4199999999999999,13.548387096774192,1.135483870967742,Closed,3.1018600000000003,3.517888,0.4160279999999998,13.41221073807328,1.1341221073807328,True,1,1.1341221073807328,,,,
IBSD,2024-02-21,2024-02-28 00:00:00,4.2,4.03,-0.1699999999999999,-4.047619047619046,0.9595238095238096,Closed,4.20252,4.027582000000001,-0.1749379999999991,-4.162692860474172,0.9583730713952584,True,3,,,0.9583730713952584,,
IBSD,2024-02-29,2024-03-05 00:00:00,4.05,4.03,-0.0199999999999995,-0.4938271604938166,0.9950617283950618,Closed,4.05243,4.027582000000001,-0.0248479999999995,-0.6131629664176688,0.9938683703358232,True,3,,,0.9938683703358232,,
TASC,2024-03-03,2024-03-04 00:00:00,9.99,9.85,-0.1400000000000005,-1.4014014014014071,0.985985985985986,Closed,9.995994,9.84409,-0.151904,-1.5196487712977824,0.9848035122870222,True,1,0.9848035122870222,,,,
BNOI,2024-03-03,2024-03-18 00:00:00,3.73,3.8,0.0699999999999998,1.8766756032171537,1.0187667560321716,Closed,3.732238,3.79772,0.0654819999999998,1.7544968997153938,1.017544968997154,True,4,,,,1.017544968997154,
TASC,2024-03-05,2024-03-07 00:00:00,9.85,9.31,-0.5399999999999991,-5.482233502538063,0.9451776649746194,Closed,9.85591,9.304414,-0.5514959999999984,-5.595586810350323,0.9440441318964968,True,1,0.9440441318964968,,,,
IBSD,2024-03-06,2024-03-12 00:00:00,4.05,4.0,-0.0499999999999998,-1.2345679012345634,0.9876543209876544,Closed,4.05243,3.9976,-0.0548300000000003,-1.3530153512830667,0.9864698464871692,True,3,,,0.9864698464871692,,
IBSD,2024-03-19,2024-03-24 00:00:00,4.04,4.05,0.0099999999999997,0.2475247524752422,1.0024752475247525,Closed,4.0424240000000005,4.04757,0.0051459999999989,0.1272998577091117,1.0012729985770912,True,1,1.0012729985770912,,,,
BMNS,2024-03-20,2024-05-07 00:00:00,1.35,1.41,0.0599999999999998,4.444444444444431,1.0444444444444445,Closed,1.35081,1.409154,0.0583439999999999,4.319186266018163,1.0431918626601815,True,3,,,1.0431918626601815,,
IBSD,2024-04-02,2024-05-05 00:00:00,4.18,4.22,0.04,0.956937799043063,1.009569377990431,Closed,4.182508,4.217467999999999,0.0349599999999998,0.8358621190921783,1.0083586211909217,True,1,1.0083586211909217,,,,
BBOB,2024-04-18,2024-04-28 00:00:00,3.86,4.23,0.3700000000000005,9.58549222797929,1.0958549222797929,Closed,3.862316,4.227462,0.3651460000000002,9.454068491547565,1.0945406849154755,True,2,,1.0945406849154755,,,
BNOI,2024-04-25,2024-04-28 00:00:00,3.01,3.0,-0.0099999999999997,-0.3322259136212554,0.9966777408637876,Closed,3.011806,2.9982,-0.0136059999999997,-0.4517555247582276,0.9954824447524178,True,4,,,,0.9954824447524178,
TASC,2024-04-28,2024-04-30 00:00:00,9.62,9.25,-0.3699999999999992,-3.846153846153838,0.9615384615384616,Closed,9.625772,9.24445,-0.381321999999999,-3.9614692722827742,0.9603853072771724,True,5,,,,,0.9603853072771724
BBOB,2024-04-29,Open Trade - Last Close Price Used,4.25,4.16,-0.0899999999999998,-2.1176470588235263,0.9788235294117648,Open,4.25255,4.157504,-0.0950459999999999,-2.235035449318643,0.9776496455068135,True,2,,0.9776496455068135,,,
BNOI,2024-04-30,2024-05-02 00:00:00,3.05,3.03,-0.02,-0.6557377049180334,0.9934426229508196,Closed,3.05183,3.028182,-0.0236480000000001,-0.7748793346942692,0.9922512066530572,True,4,,,,0.9922512066530572,
TASC,2024-05-02,2024-05-05 00:00:00,9.14,9.15,0.0099999999999997,0.1094091903719889,1.00109409190372,Closed,9.145484,9.14451,-0.0009739999999993,-0.010650065103163,0.9998934993489684,True,5,,,,,0.9998934993489684
BNOI,2024-05-05,2024-05-19 00:00:00,3.05,3.0,-0.0499999999999998,-1.6393442622950762,0.9836065573770492,Closed,3.05183,2.9982,-0.0536299999999996,-1.757306271974508,0.9824269372802548,True,4,,,,0.9824269372802548,
IBSD,2024-05-06,Open Trade - Last Close Price Used,4.23,4.35,0.1199999999999992,2.8368794326240945,1.028368794326241,Open,4.232538000000001,4.34739,0.114851999999999,2.713549175459241,1.0271354917545923,True,1,1.0271354917545923,,,,
