Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
12,BLAD,RSI14_OBV_RoC Strategy,2024-06-11T00:00:00Z,2024-08-05T00:00:00Z,0.14,0.14,,Weak Sell,35527,-100,-1.99053302493342,55,LONG,100,SIGNAL
13,NDSA,RSI14_OBV_RoC Strategy,2024-06-13T00:00:00Z,2024-08-07T00:00:00Z,0.75,0.77,,Weak Sell,7751,55.02,0.93838741312412,55,LONG,100,SIGNAL
14,IBPM,RSI14_OBV_RoC Strategy,2024-08-12T00:00:00Z,2024-08-13T00:00:00Z,3.3,3.135,,STOP_LOSS,1286,-312.19,-7.27071591597187,1,LONG,100,STOP_LOSS
15,SBPT,RSI14_OBV_RoC Strategy,2024-08-11T00:00:00Z,2024-08-14T00:00:00Z,46,44,,Sell,98,-296,-6.494076349276,3,LONG,100,SIGNAL
16,IMAP,RSI14_OBV_RoC Strategy,2024-07-15T00:00:00Z,2024-08-15T00:00:00Z,1.87,1.88,,Weak Sell,2263,-77.37,-1.80694612792254,31,LONG,100,SIGNAL
17,BMNS,RSI14_OBV_RoC Strategy,2024-08-07T00:00:00Z,2024-08-20T00:00:00Z,1.37,1.35,,Weak Sell,4408,-188.16,-3.09018288837503,13,LONG,100,SIGNAL
18,SBPT,RSI14_OBV_RoC Strategy,2024-08-15T00:00:00Z,2024-09-04T00:00:00Z,44.26,47.5,,Sell,101,227.24,5.02714445629234,20,LONG,100,SIGNAL
19,IMIB,RSI14_OBV_RoC Strategy,2024-07-31T00:00:00Z,2024-09-04T00:00:00Z,2,1.9,,STOP_LOSS,2107,-310.7,-7.28658536585366,35,LONG,100,STOP_LOSS
20,SBPT,RSI14_OBV_RoC Strategy,2024-09-05T00:00:00Z,2024-09-09T00:00:00Z,47.75,49.75,,Sell,82,64,1.613920060522,4,LONG,100,SIGNAL
21,IIEW,RSI14_OBV_RoC Strategy,2024-09-05T00:00:00Z,2024-09-12T00:00:00Z,4,4.6,,TAKE_PROFIT,919,451.4,12.11486849168009,7,LONG,100,TAKE_PROFIT
22,SAEI,RSI14_OBV_RoC Strategy,2024-09-11T00:00:00Z,2024-09-12T00:00:00Z,2.88,3.312,,TAKE_PROFIT,1283,454.256,12.1295366671651,1,LONG,100,TAKE_PROFIT
23,SAEI,RSI14_OBV_RoC Strategy,2024-09-16T00:00:00Z,2024-09-17T00:00:00Z,3,2.85,,STOP_LOSS,1325,-298.75,-7.4223602484472,1,LONG,100,STOP_LOSS
24,BEFI,RSI14_OBV_RoC Strategy,2024-08-04T00:00:00Z,2024-09-18T00:00:00Z,0.23,0.2645,,TAKE_PROFIT,19601,576.2345,12.64162843910904,45,LONG,100,TAKE_PROFIT
25,SBPT,RSI14_OBV_RoC Strategy,2024-09-17T00:00:00Z,2024-09-25T00:00:00Z,54,51.3,,STOP_LOSS,73,-297.1,-7.44238476953908,8,LONG,100,STOP_LOSS
26,SBPT,RSI14_OBV_RoC Strategy,2024-09-25T00:00:00Z,2024-09-25T00:00:00Z,51,51,,Sell,83,-100,-2.33481204763017,0,LONG,100,SIGNAL
