Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
14,BNOI,RSI Strategy2,2024-07-31T00:00:00Z,2024-09-01T00:00:00Z,2.53,2.3782,,STOP_LOSS,2090,-417.262,-7.817262116642,32,LONG,100,STOP_LOSS
15,IMOS,RSI Strategy2,2024-07-22T00:00:00Z,2024-09-03T00:00:00Z,9,8.46,,STOP_LOSS,800,-532,-7.33793103448276,43,LONG,100,STOP_LOSS
16,SAEI,RSI Strategy2,2024-09-01T00:00:00Z,2024-09-10T00:00:00Z,2.06,2.3072,,TAKE_PROFIT,2092,417.1424,9.56853965574192,9,LONG,100,TAKE_PROFIT
17,IRMC,RSI Strategy2,2024-07-23T00:00:00Z,2024-09-16T00:00:00Z,3.45,3.5,,Sell,1584,-20.8,-0.37716689635164,55,LONG,100,SIGNAL
18,HISH,RSI Strategy2,2024-08-12T00:00:00Z,2024-09-18T00:00:00Z,9.4,9.6,,Weak Sell,462,-7.6,-0.17301038062284,37,LONG,100,SIGNAL
19,SMRI,RSI Strategy2,2024-08-04T00:00:00Z,2024-09-25T00:00:00Z,5.8,5.452,,STOP_LOSS,907,-415.636,-7.82653560802922,52,LONG,100,STOP_LOSS
20,IHFI,RSI Strategy2,2024-08-12T00:00:00Z,2024-09-29T00:00:00Z,2,1.88,,STOP_LOSS,2659,-419.08,-7.8070044709389,48,LONG,100,STOP_LOSS
21,HNTI,RSI Strategy2,2024-09-04T00:00:00Z,2024-10-01T00:00:00Z,9.9,9.306,,STOP_LOSS,603,-458.182,-7.6113759821918,27,LONG,100,STOP_LOSS
22,IBSD,RSI Strategy2,2024-09-01T00:00:00Z,2024-10-15T00:00:00Z,4.12,4.3,,Strong Sell,1128,103.04,2.19357255990599,44,LONG,100,SIGNAL
23,BIME,RSI Strategy2,2024-09-29T00:00:00Z,2024-10-17T00:00:00Z,0.07,0.0784,,TAKE_PROFIT,62987,429.0908,9.62283335837581,18,LONG,100,TAKE_PROFIT
24,SMOF,RSI Strategy2,2024-08-11T00:00:00Z,2024-10-17T00:00:00Z,8.1,8.25,,Hold,659,-1.15,-0.02134412294215,67,LONG,100,TIME_LIMIT
25,NAME,RSI Strategy2,2024-09-25T00:00:00Z,2024-10-17T00:00:00Z,0.6,0.672,,TAKE_PROFIT,7432,435.104,9.64925042136077,22,LONG,100,TAKE_PROFIT
26,AISP,RSI Strategy2,2024-10-01T00:00:00Z,2024-10-21T00:00:00Z,8.46,9.16,,Sell,707,394.9,6.54759733519918,20,LONG,100,SIGNAL
27,IHFI,RSI Strategy2,2024-10-17T00:00:00Z,2024-10-27T00:00:00Z,1.44,1.3536,,STOP_LOSS,4884,-521.9776,-7.36948394456555,10,LONG,100,STOP_LOSS
28,BCOI,RSI Strategy2,2024-10-22T00:00:00Z,2024-10-28T00:00:00Z,0.89,0.9,,Weak Sell,4822,-51.78,-1.19265336582534,6,LONG,100,SIGNAL
29,TZNI,RSI Strategy2,2024-09-25T00:00:00Z,2024-10-28T00:00:00Z,2.4,2.4,,Strong Sell,2492,-100,-1.65815480533263,33,LONG,100,SIGNAL
30,HNTI,RSI Strategy2,2024-10-15T00:00:00Z,2024-10-29T00:00:00Z,9.15,10,,Weak Sell,801,580.85,7.87150281536491,14,LONG,100,SIGNAL
31,BGUC,RSI Strategy2,2024-10-28T00:00:00Z,2024-11-03T00:00:00Z,0.33,0.3102,,STOP_LOSS,14425,-385.615,-8.0165272075256,6,LONG,100,STOP_LOSS
32,SAEI,RSI Strategy2,2024-10-28T00:00:00Z,2024-11-05T00:00:00Z,2.8,2.75,,Weak Sell,1576,-178.8,-4.00645334767411,8,LONG,100,SIGNAL
33,AIRP,RSI Strategy2,2024-09-16T00:00:00Z,2024-11-13T00:00:00Z,20,18.8,,STOP_LOSS,223,-367.6,-8.15077605321508,58,LONG,100,STOP_LOSS
34,IIEW,RSI Strategy2,2024-11-04T00:00:00Z,2024-11-14T00:00:00Z,8.5,9.52,,TAKE_PROFIT,533,443.66,9.68584215696976,10,LONG,100,TAKE_PROFIT
35,HMAN,RSI Strategy2,2024-09-10T00:00:00Z,2024-11-14T00:00:00Z,40,41,,Hold,109,9,0.20408163265306,65,LONG,100,TIME_LIMIT
36,BIBI,RSI Strategy2,2024-10-17T00:00:00Z,2024-11-18T00:00:00Z,0.3,0.282,,STOP_LOSS,14847,-367.246,-8.15359339268666,32,LONG,100,STOP_LOSS
37,BMNS,RSI Strategy2,2024-11-05T00:00:00Z,2024-11-19T00:00:00Z,1.91,1.96,,Weak Sell,2362,18.1,0.39680625770045,14,LONG,100,SIGNAL
38,BTIB,RSI Strategy2,2024-11-19T00:00:00Z,2024-11-24T00:00:00Z,0.76,0.85,,Sell,9451,750.59,10.37764283620637,5,LONG,100,SIGNAL
39,VWIF,RSI Strategy2,2024-10-29T00:00:00Z,2024-11-28T00:00:00Z,0.28,0.3136,,TAKE_PROFIT,26903,803.9408,10.60210686233654,30,LONG,100,TAKE_PROFIT
40,BGUC,RSI Strategy2,2024-11-18T00:00:00Z,2024-12-01T00:00:00Z,0.31,0.2914,,STOP_LOSS,13847,-357.5542,-8.23370032031723,13,LONG,100,STOP_LOSS
41,BIME,RSI Strategy2,2024-12-01T00:00:00Z,2024-12-02T00:00:00Z,0.07,0.0784,,TAKE_PROFIT,65698,451.8632,9.71987110818566,1,LONG,100,TAKE_PROFIT
42,TZNI,RSI Strategy2,2024-11-14T00:00:00Z,2024-12-02T00:00:00Z,2.37,2.4,,Weak Sell,1815,-45.55,-1.04675345566522,18,LONG,100,SIGNAL
43,BIIB,RSI Strategy2,2024-10-31T00:00:00Z,2024-12-09T00:00:00Z,1.56,1.4664,,STOP_LOSS,2914,-372.7504,-8.11060437265005,39,LONG,100,STOP_LOSS
44,BASH,RSI Strategy2,2024-11-24T00:00:00Z,2024-12-18T00:00:00Z,0.29,0.29,,Weak Sell,15047,-100,-2.26570872501773,24,LONG,100,SIGNAL
45,BROI,RSI Strategy2,2024-10-20T00:00:00Z,2024-12-19T00:00:00Z,0.87,0.85,,Hold,4747,-194.94,-4.66375909413884,60,LONG,100,TIME_LIMIT
46,BBOB,RSI Strategy2,2024-12-02T00:00:00Z,2024-12-22T00:00:00Z,4.05,4.24,,Weak Sell,1524,189.56,3.046510880396,20,LONG,100,SIGNAL
47,SMRI,RSI Strategy2,2024-12-11T00:00:00Z,2024-12-29T00:00:00Z,5.69,7.26,,Sell,785,1132.45,25.07278624644371,18,LONG,100,SIGNAL
48,IIDP,RSI Strategy2,2024-12-22T00:00:00Z,2024-12-29T00:00:00Z,4.2,3.948,,STOP_LOSS,1014,-355.528,-8.25120683252878,7,LONG,100,STOP_LOSS
