Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
BBOB,2023-05-23,2023-07-31 00:00:00,2.14,2.36,0.2199999999999997,10.280373831775687,1.102803738317757,Closed,2.141284,2.358584,0.2172999999999998,10.148116737434169,1.1014811673743417,True,4,,,,1.1014811673743417,
BNOI,2023-05-28,2023-05-29 00:00:00,1.2,1.13,-0.07,-5.833333333333339,0.9416666666666668,Closed,1.20072,1.129322,-0.071398,-5.946265573988946,0.9405373442601104,True,1,0.9405373442601104,,,,
IBSD,2023-05-29,2023-05-31 00:00:00,2.95,2.85,-0.1,-3.3898305084745792,0.9661016949152542,Closed,2.95177,2.84829,-0.1034800000000002,-3.505693194252948,0.9649430680574704,True,2,,0.9649430680574704,,,
BMNS,2023-05-31,2023-07-27 00:00:00,0.58,0.87,0.29,50.000000000000014,1.5,Closed,0.580348,0.869478,0.28913,49.82010793523886,1.4982010793523886,True,1,1.4982010793523886,,,,
BNOI,2023-05-31,2023-06-06 00:00:00,1.1,1.12,0.02,1.8181818181818197,1.0181818181818183,Closed,1.1006600000000002,1.119328,0.0186679999999999,1.696073265131821,1.016960732651318,True,5,,,,,1.016960732651318
IBSD,2023-06-01,2023-08-02 00:00:00,2.85,3.22,0.3700000000000001,12.982456140350882,1.1298245614035087,Closed,2.85171,3.218068,0.3663579999999999,12.846958491571725,1.1284695849157171,True,2,,1.1284695849157171,,,
BNOI,2023-06-07,2023-07-03 00:00:00,1.14,1.25,0.1100000000000001,9.649122807017552,1.0964912280701755,Closed,1.1406839999999998,1.24925,0.1085660000000001,9.517622759677542,1.0951762275967754,True,3,,,1.0951762275967754,,
TASC,2023-06-08,2023-06-22 00:00:00,7.36,7.3,-0.0600000000000005,-0.8152173913043546,0.9918478260869564,Closed,7.364416,7.295619999999999,-0.0687960000000007,-0.9341677602134472,0.9906583223978656,True,5,,,,,0.9906583223978656
TASC,2023-06-26,2023-07-06 00:00:00,7.28,7.4,0.1200000000000001,1.6483516483516498,1.0164835164835164,Closed,7.284368000000001,7.395560000000001,0.1111919999999999,1.5264467693010562,1.0152644676930105,True,5,,,,,1.0152644676930105
BNOI,2023-07-06,2023-07-26 00:00:00,1.22,1.39,0.1699999999999999,13.93442622950819,1.139344262295082,Closed,1.220732,1.389166,0.1684339999999999,13.797786901629513,1.1379778690162952,True,3,,,1.1379778690162952,,
TASC,2023-07-09,2023-07-12 00:00:00,7.4,7.35,-0.0500000000000007,-0.6756756756756852,0.9932432432432432,Closed,7.40444,7.34559,-0.0588500000000005,-0.7947933942337368,0.9920520660576626,True,5,,,,,0.9920520660576626
TASC,2023-07-20,2023-08-01 00:00:00,7.39,7.46,0.0700000000000002,0.9472259810554842,1.0094722598105548,Closed,7.394433999999999,7.455524,0.06109,0.8261619482978697,1.0082616194829788,True,5,,,,,1.0082616194829788
BMNS,2023-07-31,2023-08-01 00:00:00,0.88,0.85,-0.03,-3.4090909090909123,0.9659090909090908,Closed,0.880528,0.84949,-0.031038,-3.5249304962477077,0.964750695037523,True,1,0.964750695037523,,,,
BNOI,2023-08-01,2023-08-21 00:00:00,1.34,1.46,0.1199999999999998,8.955223880597005,1.08955223880597,Closed,1.340804,1.459124,0.1183199999999997,8.824556012661041,1.0882455601266103,True,3,,,1.0882455601266103,,
TASC,2023-08-02,2023-08-09 00:00:00,7.41,7.62,0.2099999999999999,2.834008097165991,1.02834008097166,Closed,7.414446,7.615428,0.2009820000000006,2.710681283537579,1.0271068128353755,True,1,1.0271068128353755,,,,
BMNS,2023-08-02,2023-09-21 00:00:00,0.84,0.94,0.0999999999999999,11.904761904761903,1.119047619047619,Closed,0.8405039999999999,0.939436,0.098932,11.770556713590896,1.117705567135909,True,4,,,,1.117705567135909,
BBOB,2023-08-03,2023-08-28 00:00:00,2.35,3.37,1.02,43.40425531914894,1.434042553191489,Closed,2.35141,3.367978,1.016568,43.232273401916295,1.4323227340191629,True,2,,1.4323227340191629,,,
TASC,2023-08-10,2023-09-24 00:00:00,7.64,8.79,1.1499999999999997,15.0523560209424,1.150523560209424,Closed,7.644584,8.784726,1.140141999999999,14.914375981740788,1.149143759817408,True,1,1.149143759817408,,,,
IBSD,2023-08-13,2023-08-31 00:00:00,3.1,3.13,0.0299999999999998,0.9677419354838646,1.0096774193548386,Closed,3.1018600000000003,3.128122,0.0262619999999995,0.8466532983435604,1.0084665329834357,True,5,,,,,1.0084665329834357
BNOI,2023-08-22,2023-08-30 00:00:00,1.61,1.92,0.3099999999999998,19.25465838509316,1.1925465838509317,Closed,1.610966,1.918848,0.3078819999999997,19.11163860689796,1.1911163860689795,True,3,,,1.1911163860689795,,
BBOB,2023-08-29,2023-11-08 00:00:00,3.25,3.16,-0.0899999999999998,-2.7692307692307647,0.9723076923076924,Closed,3.25195,3.158104,-0.0938459999999996,-2.8858377281323406,0.9711416227186764,True,2,,0.9711416227186764,,,
BNOI,2023-09-03,2023-09-12 00:00:00,1.91,1.9,-0.01,-0.5235602094240842,0.9947643979057592,Closed,1.911146,1.89886,-0.012286,-0.6428603570841798,0.993571396429158,True,3,,,0.993571396429158,,
IBSD,2023-09-05,2023-09-24 00:00:00,3.13,3.47,0.3400000000000003,10.86261980830672,1.1086261980830672,Closed,3.131878,3.467918,0.3360400000000001,10.729664437759071,1.107296644377591,True,5,,,,,1.107296644377591
BNOI,2023-09-14,2023-09-28 00:00:00,1.9,2.41,0.5100000000000002,26.842105263157904,1.2684210526315791,Closed,1.90114,2.408554,0.5074140000000003,26.68998600839498,1.2668998600839498,True,3,,,1.2668998600839498,,
