Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
19,BMNS,OBV Strategy,2024-08-07T00:00:00Z,2024-08-19T00:00:00Z,1.37,1.35,,Strong Sell,5548,-210.96,-2.75737312371581,12,LONG,100,SIGNAL
20,HBAG,OBV Strategy,2024-07-04T00:00:00Z,2024-09-03T00:00:00Z,10.85,10.95,,Hold,399,-60.1,-1.37241245447176,61,LONG,100,TIME_LIMIT
21,SBPT,OBV Strategy,2024-08-15T00:00:00Z,2024-09-04T00:00:00Z,44.26,47.5,,Sell,156,405.44,5.82984401601252,20,LONG,100,SIGNAL
22,IMIB,OBV Strategy,2024-08-12T00:00:00Z,2024-09-04T00:00:00Z,2,1.88,,STOP_LOSS,3561,-527.32,-7.35248187395427,23,LONG,100,STOP_LOSS
23,IKLV,OBV Strategy,2024-08-20T00:00:00Z,2024-09-09T00:00:00Z,1.65,1.848,,TAKE_PROFIT,2540,402.92,9.50058948361236,20,LONG,100,TAKE_PROFIT
24,BEFI,OBV Strategy,2024-08-04T00:00:00Z,2024-09-10T00:00:00Z,0.23,0.2576,,TAKE_PROFIT,25081,592.2356,10.17826533049876,37,LONG,100,TAKE_PROFIT
25,BBOB,OBV Strategy,2024-09-05T00:00:00Z,2024-09-18T00:00:00Z,3,2.9,,Weak Sell,2439,-343.9,-4.66811456495181,13,LONG,100,SIGNAL
26,IIDP,OBV Strategy,2024-08-07T00:00:00Z,2024-09-18T00:00:00Z,1.95,2.184,,TAKE_PROFIT,2345,448.73,9.70699259099021,42,LONG,100,TAKE_PROFIT
27,IMAP,OBV Strategy,2024-09-03T00:00:00Z,2024-09-18T00:00:00Z,2.02,2.03,,Strong Sell,3462,-65.38,-0.92826596850313,15,LONG,100,SIGNAL
28,SBPT,OBV Strategy,2024-09-10T00:00:00Z,2024-09-25T00:00:00Z,56,52.64,,STOP_LOSS,74,-348.64,-8.31282784930854,15,LONG,100,STOP_LOSS
29,SBPT,OBV Strategy,2024-09-25T00:00:00Z,2024-09-25T00:00:00Z,51,51,,Weak Sell,95,-100,-2.04290091930541,0,LONG,100,SIGNAL
